N.S. Engineering & Geo-Technical Services Pvt. Ltd. ,,,,,,,,,,,,,,,,,
"Dhobighat, Lalitpur, Nepal",,,,,,,,,,,,,,,,,
Vat No. 603565542,,,,,,,,,,,,,,,,,
"Equipments, Macine & Jinsi Purchase :-                                     ",,,,,,,,,,,,,,,,,
S. No.,Date,Department,Bill No.,Pan No.,Description,Parti's Name,Quantity,Unit, Rate , Taxable Amount , Vat 13% , Amount with Vat , Year in Use  ,Depreciation in %, Depreciation , Depreciated Value , Remarks 
30,2072.12.29,Chemical,168,300048584,Rubber Cork,Sako Engineering & Technical Trading Pvt. Ltd.,5,Pcs, 60.00 , 300.00 , 39.00 , 339.00 ,,, -   , 339.00 ,
31,2072.12.29,Chemical,168,300048584,Spatula,Sako Engineering & Technical Trading Pvt. Ltd.,3,Pcs, 210.00 , 630.00 , 81.90 , 711.90 ,,, -   , 711.90 ,
32,2073.03.05,Soil and Aggregate,443,300298710,75 Micron Brass Sieve,Geo - Tech International Pvt. Ltd.,1,Nos," 1,460.00 "," 1,460.00 ", 189.80 ," 1,649.80 ",,, -   ," 1,649.80 ",
33,2073.08.26,Soil and Aggregate,515,302405295,Flakhe Index,Bagmati Enterprises,1,Nos, 800.00 , 800.00 , 104.00 , 904.00 ,,, -   , 904.00 ,
34,2073.09.07,Soil and Aggregate,1558,300040966,BE PH- 150001xDigital Balance 15KG/0.1G Phoenix,BTC Private ltd.,1,Pc," 20,088.00 "," 20,088.00 "," 2,611.44 "," 22,699.44 ",,, -   ," 22,699.44 ",
35,2073.09.07,Soil and Aggregate,1558,300040966,BE PH- 82001x Balance Digital 6200G/0.1G Phoenix,BTC Private ltd.,1,Pc," 13,860.00 "," 13,860.00 "," 1,801.80 "," 15,661.80 ",,, -   ," 15,661.80 ",
36,2073.09.07,Soil and Aggregate,1558,300040966,BE PH- 6202N Balance Precision 620G/10MG Phoenix,BTC Private ltd.,1,Pc," 9,207.00 "," 9,207.00 "," 1,196.91 "," 10,403.91 ",,, -   ," 10,403.91 ",
37,2073.11.15,Soil and Aggregate,472,300298710,"8"" Brass Sieve 75 Mic",Bagmati Geo System Pvt. Ltd.,2,Nos," 1,400.00 "," 2,800.00 ", 364.00 ," 3,164.00 ",,, -   ," 3,164.00 ",
38,2073.11.15,Soil and Aggregate,472,300298710,Porous Stone,Bagmati Geo System Pvt. Ltd.,1,Nos," 1,000.00 "," 1,000.00 ", 130.00 ," 1,130.00 ",,, -   ," 1,130.00 ",
39,2073.12.04,Rock,220,603792937,Sampling Outfit Apparatus,Saurya & Saurabi Enterprises,1,Set," 24,500.00 "," 24,500.00 "," 3,185.00 "," 27,685.00 ",,, -   ," 27,685.00 ",
40,2073.12.04,Rock,220,603792937,Triaxial Compression Testing Machine,Saurya & Saurabi Enterprises,1,Set," 214,000.00 "," 214,000.00 "," 27,820.00 "," 241,820.00 ",,, -   ," 241,820.00 ",
41,2073.12.17,Chemical,538,300298710,Lutron PH-222 Pen PH meter (AI. 19120),Geo - Tech International Pvt. Ltd.,1,Nos," 9,500.00 "," 9,500.00 "," 1,235.00 "," 10,735.00 ",,, -   ," 10,735.00 ",
42,2073.12.32,Electrical and Electronics,155,300125029,Brother DCP J105 Printer,COS Trading Company Pvt. Ltd.,1,Pic," 15,486.73 "," 15,486.73 "," 2,013.27 "," 17,500.00 ",,, -   ," 17,500.00 ",
43,2073.12.32,Electrical and Electronics,155,300125029,1450 VA HB Inverter,COS Trading Company Pvt. Ltd.,1,Pic," 17,000.00 "," 17,000.00 "," 2,210.00 "," 19,210.00 ",,, -   ," 19,210.00 ",
44,2073.12.32,Electrical and Electronics,155,300125029,200 AH IT Battery,COS Trading Company Pvt. Ltd.,2,Pcs," 29,995.58 "," 59,991.16 "," 7,798.85 "," 67,790.01 ",,, -   ," 67,790.01 ",
45,2074.01.12,Soil and Aggregate,352,603792937,Consolidation Test Appartatus (3 Gang capacity),Saurya & Saurabi Enterprises,1,Set," 180,000.00 "," 180,000.00 "," 23,400.00 "," 203,400.00 ",,, -   ," 203,400.00 ",
46,2074.01.12,Soil and Aggregate,352,603792937,Standard sand 25 kg bag Grade II,Saurya & Saurabi Enterprises,1,Bag," 3,500.00 "," 3,500.00 ", 455.00 ," 3,955.00 ",,, -   ," 3,955.00 ",
47,2074.02.29,Bitumen,499,603792937,Softening Point Ring & Ball Apparatus,Saurya & Saurabi Enterprises,1,Set," 16,470.00 "," 16,470.00 "," 2,141.10 "," 18,611.10 ",,, -   ," 18,611.10 ",50% damage
48,2074.02.29,Soil and Aggregate,499,603792937,Permability Test Apparatus,Saurya & Saurabi Enterprises,1,Set," 49,500.00 "," 49,500.00 "," 6,435.00 "," 55,935.00 ",,, -   ," 55,935.00 ",
49,2074.03.30,Soil Investigation,153,303052353,"Core drill ring of 50m capacity with NQ3 Barrel, 5 nos",OM Metal Engineering workshop Pvt. Ltd.,1,Set," 550,000.00 "," 550,000.00 ", -   ," 550,000.00 ",,, -   ," 550,000.00 ",
50,2074.10.25,Rock,157,305268877,Brazilian Test Apparatus,Smart Business Service P. Ltd.,1,," 94,800.00 "," 94,800.00 "," 12,324.00 "," 107,124.00 ",,, -   ," 107,124.00 ",Fully Damaged
51,2074.10.25,Soil and Aggregate,157,305268877,Loss Angeles Abrasion Testing Machine,Smart Business Service P. Ltd.,1,," 138,370.00 "," 138,370.00 "," 17,988.10 "," 156,358.10 ",,, -   ," 156,358.10 ",
52,2074.10.25,Soil and Aggregate,157,305268877,Casagrandey liquid limit device,Smart Business Service P. Ltd.,2,," 5,750.00 "," 11,500.00 "," 1,495.00 "," 12,995.00 ",,, -   ," 12,995.00 ",
53,2074.10.25,Soil and Aggregate,157,305268877,Plastic limit device,Smart Business Service P. Ltd.,1,," 3,450.00 "," 3,450.00 ", 448.50 ," 3,898.50 ",,, -   ," 3,898.50 ",
54,2074.10.25,Soil and Aggregate,157,305268877,Unconfined Compressive Strength testing Machine,Smart Business Service P. Ltd.,1,," 113,648.00 "," 113,648.00 "," 14,774.24 "," 128,422.24 ",,, -   ," 128,422.24 ",
55,2074.11.13,Geophysical and Survey,67,606906850,"Earth Resistance Tromology GD-10, Supreme+RES/IP 2D+3D+Imaging",Asian Techno Traders Pvt. Ltd.,1,Set," 2,317,823.42 "," 2,317,823.42 "," 301,317.04 "," 2,619,140.46 ",,, -   ," 2,619,140.46 ",
56,2075.03.26,Soil Investigation,118,303052353,50m Capacity rotary with keliy Bar and Spt set with Portable tripod with NQ Wire line series and monkay hammer,OM Metal Engineering workshop Pvt. Ltd.,2,Set," 570,000.00 "," 1,140,000.00 ", Free ," 1,140,000.00 ",,0, -   ," 1,140,000.00 ",Fully Damaged
57,2075.09.06,Electrical and Electronics,517,303026600,Huawei Mate 20 Pro,DIGI Mobile,2,Pcs," 109,734.51 "," 219,469.02 "," 28,530.97 "," 247,999.99 ",,0, -   ," 247,999.99 ",Fully Damaged
58,2075.10.18,Non Destructive,302/075/76,606906850,Rebound Hammer TR-1,Asian Techno Traders Pvt. Ltd.,2,Pcs," 12,570.00 "," 25,140.00 "," 3,268.20 "," 28,408.20 ",,, -   ," 28,408.20 ",
59,2075.10.28,Geophysical and Survey,922,604295275,Eastwing Gealogical hammer Special Edition Lether Grip Pointed,Bagmati Geo System Pvt. Ltd.,1,Nos," 7,500.00 "," 7,500.00 ", 975.00 ," 8,475.00 ",,, -   ," 8,475.00 ",
60,2075.11.10,Geophysical and Survey,3390 75/76,606906850,"CA-24 24-Single Take Out ERT Cable, 10 Meter Spacing ",Asian Techno Traders Pvt. Ltd.,1,Pcs," 204,824.25 "," 204,824.25 "," 26,627.15 "," 231,451.40 ",,, -   ," 231,451.40 ",
61,2075.11.10,Geophysical and Survey,3390 75/76,606906850,Stainless Steel Electrode,Asian Techno Traders Pvt. Ltd.,10,Pcs," 3,022.00 "," 30,220.00 "," 3,928.60 "," 34,148.60 ",,, -   ," 34,148.60 ",
62,2075.12.12,Soil and Aggregate,201,300048584,Brass Sieve 20 cm Dia 75 micron,Sako Engineering & Technical Trading Pvt. Ltd.,5,Pcs," 1,400.00 "," 7,000.00 ", 910.00 ," 7,910.00 ",,, -   ," 7,910.00 ",
63,2075.12.12,Soil and Aggregate,201,300048584,"Hot Air Oven Al. Chamber 18"" thermostat Control",Sako Engineering & Technical Trading Pvt. Ltd.,1,Pcs," 22,641.00 "," 22,641.00 "," 2,943.33 "," 25,584.33 ",,, -   ," 25,584.33 ",
64,2075.12.18,Soil Investigation,1524,300054392,"AIM-135, Static Cone Penetrometer 30 KN (3000 Kgt) Capacity, Hand Opened",H. G. Ent.Pvt. Ltd.,1,Nos," 505,080.00 "," 505,080.00 "," 65,660.40 "," 570,740.40 ",,, -   ," 570,740.40 ",60% Damaged
65,2075.12.18,Rock,1524,300054392,AIM-206- DG Point Load Index Tester Digital,H. G. Ent.Pvt. Ltd.,1,Nos," 227,240.00 "," 227,240.00 "," 29,541.20 "," 256,781.20 ",,, -   ," 256,781.20 ",
66,2076.02.10,Soil and Aggregate ,475,300298710,BS 1100+1100g /10.01 gm Digital Balance,Geo - Tech International Pvt. Ltd.,1,Nos," 15,500.00 "," 15,500.00 "," 2,015.00 "," 17,515.00 ",,, -   ," 17,515.00 ",
67,2076.03.03,Soil and Aggregate,2103,300054392,Digital compression Testing Machine Electrically Operated 2000 KN (AIM-317E-DG-1),H. G. Ent.Pvt. Ltd.,1,Nos," 567,640.00 "," 567,640.00 "," 73,793.20 "," 641,433.20 ",,, -   ," 641,433.20 ",
68,2076.03.10,Furniture,88,604141976,1.2 Office Table,Dharma Furniture Udhyog,1,Pcs," 12,389.38 "," 12,389.38 "," 1,610.62 "," 14,000.00 ",,, -   ," 14,000.00 ",
69,2076.03.10,Furniture,88,604141976,Revelbing Chair boss,Dharma Furniture Udhyog,1,Pcs," 10,619.46 "," 10,619.46 "," 1,380.53 "," 11,999.99 ",,, -   ," 11,999.99 ",
70,2076.03.10,Furniture,88,604141976,Revelbing Chair Net,Dharma Furniture Udhyog,1,Pcs," 4,424.77 "," 4,424.77 ", 575.22 ," 4,999.99 ",,, -   ," 4,999.99 ",
71,2076.03.31,Soil Investigation,156,303052353,50m Rotary Core Drilling Machine with Tripod Caug bar Steel Jope N Series Casing NQ Barrects,OM Metal Engineering workshop Pvt. Ltd.,1,Set," 588,000.00 "," 588,000.00 ", Free ," 588,000.00 ",,, -   ," 588,000.00 ",Fully Damaged
72,2076.06.16,Soil and Aggregate,503,300054392,Direct Shear Test Apparatus Electronic 2KN Digital (AIM-105),H. G. Ent.Pvt. Ltd.,1,Nos," 375,622.20 "," 375,622.20 "," 48,830.89 "," 424,453.09 ",,, -   ," 424,453.09 ",
73,2076.07.28,Soil Investigation,31,303052353,DCPT Set,OM Metal Engineering workshop Pvt. Ltd.,1,Set," 18,000.00 "," 18,000.00 "," 2,340.00 "," 20,340.00 ",,, -   ," 20,340.00 ",
74,2076.09.03,Soil and Aggregate,214,300298710,6 Kg Balance 6kg/01g,Geo - Tech International Pvt. Ltd.,1,Nos," 13,500.00 "," 13,500.00 "," 1,755.00 "," 15,255.00 ",,, -   ," 15,255.00 ",
75,2076.09.10,Rock,436,,Cut Off Machine (With Blade),Palistha Impex,1,Nos," 10,885.00 "," 10,885.00 "," 1,415.05 "," 12,300.05 ",,, -   ," 12,300.05 ",
76,2076.09.22,Electrical and Electronics,56,300125029,Image Class MF-3010 Printer,COS Trading Company Pvt. Ltd.,1,Pc," 19,469.03 "," 19,469.03 "," 2,530.97 "," 22,000.00 ",,, -   ," 22,000.00 ",
77,2076.11.23,Electrical and Electronics,477,301217301,Dell i3 Laptop 14 Inch,New Creation Suppliers,3,Pcs," 35,840.70 "," 107,522.10 "," 13,977.87 "," 121,499.97 ",,, -   ," 121,499.97 ",
78,2077.03.09,Cement and Concrete,422,606906850,Slump Cone Apparatus,Asian Techno Traders Pvt. Ltd.,1,Set," 3,600.00 "," 3,600.00 ", 468.00 ," 4,068.00 ",,, -   ," 4,068.00 ",
79,2077.03.09,Cement and Concrete,422,606906850,Cube Mould 15x15 Cm,Asian Techno Traders Pvt. Ltd.,12,Pcs," 1,800.00 "," 21,600.00 "," 2,808.00 "," 24,408.00 ",,, -   ," 24,408.00 ",
80,2077.03.19,Non Destructive,436,606906850,Concrete  Test Hammer,Asian Techno Traders Pvt. Ltd.,1,Pcs," 15,000.00 "," 15,000.00 "," 1,950.00 "," 16,950.00 ",,, -   ," 16,950.00 ",
81,2077.03.30,Soil and Aggregate,471,606906850,Electronic Weighing Scale Cap:6Kg,Asian Techno Traders Pvt. Ltd.,1,Pcs," 16,000.00 "," 16,000.00 "," 2,080.00 "," 18,080.00 ",,, -   ," 18,080.00 ",
82,2077.04.19,Soil and Aggregate,9,300298710,200 mm dia Brass Sieve (75 Micron),Geo - Tech International Pvt. Ltd.,2,Nos," 1,550.00 "," 3,100.00 ", 403.00 ," 3,503.00 ",,, -   ," 3,503.00 ",
83,2077.04.32,Soil and Aggregate,29,606906850,"Hydraulic Sample eject 5000, Motorised, With Electric/Hand Operated",Asian Techno Traders Pvt. Ltd.,1,Nos," 184,253.00 "," 184,253.00 "," 23,952.89 "," 208,205.89 ",,, -   ," 208,205.89 ",
84,2077.04.32,Rock,29,606906850,Triaxial Testing System Consisting of AIM 211 Triaxial Cell,Asian Techno Traders Pvt. Ltd.,1,Nos," 980,136.00 "," 980,136.00 "," 127,417.68 "," 1,107,553.68 ",,, -   ," 1,107,553.68 ",
85,2077.04.32,Rock,29,606906850,Automatic Compression Testing Machine Capacity 500 KN,Asian Techno Traders Pvt. Ltd.,1,Nos," 931,729.00 "," 931,729.00 "," 121,124.77 "," 1,052,853.77 ",,, -   ," 1,052,853.77 ",
86,2077.04.32,Cement and Concrete,29,606906850,"Electronic Balance 600G*0.01G#MWP-600, PAN Size 116 MM Dia",Asian Techno Traders Pvt. Ltd.,1,Nos," 45,085.00 "," 45,085.00 "," 5,861.05 "," 50,946.05 ",,, -   ," 50,946.05 ",
87,2077.04.32,Soil and Aggregate,29,606906850,Electronic Balance MW-3000G*0.1G # Capacity 3000G*0.1G Pan Size 158*144.6 mm,Asian Techno Traders Pvt. Ltd.,1,Nos," 54,746.00 "," 54,746.00 "," 7,116.98 "," 61,862.98 ",,, -   ," 61,862.98 ",
88,2077.04.32,Rock,29,606906850,Unconfined Compression Tester for Rocks,Asian Techno Traders Pvt. Ltd.,1,Nos," 219,286.72 "," 219,286.72 "," 28,507.27 "," 247,793.99 ",,, -   ," 247,793.99 ",
89,2077.04.32,Rock,30,606906850,Core Drilling Machine Without BITS,Asian Techno Traders Pvt. Ltd.,1,Nos," 129,152.00 "," 129,152.00 "," 16,789.76 "," 145,941.76 ",,, -   ," 145,941.76 ",
90,2077.04.32,Rock,30,606906850,Core Drilling Bit 21.46 mm Dia(EX Size) 150 mm Long,Asian Techno Traders Pvt. Ltd.,1,Nos," 23,353.00 "," 23,353.00 "," 3,035.89 "," 26,388.89 ",,, -   ," 26,388.89 ",
91,2077.04.32,Rock,30,606906850,Core Drilling Bit 30.10 mm Dia(AX Size) 150 mm Long,Asian Techno Traders Pvt. Ltd.,1,Nos," 26,785.00 "," 26,785.00 "," 3,482.05 "," 30,267.05 ",,, -   ," 30,267.05 ",
92,2077.04.32,Rock,30,606906850,Core Drilling Bit 42.04 mm Dia(BX Size) 150 mm Long,Asian Techno Traders Pvt. Ltd.,1,Nos," 42,385.00 "," 42,385.00 "," 5,510.05 "," 47,895.05 ",,, -   ," 47,895.05 ",
93,2077.04.32,Rock,30,606906850,Core Drilling Bit 54.74 mm Dia(NX Size) 150 mm Long,Asian Techno Traders Pvt. Ltd.,1,Nos," 51,430.00 "," 51,430.00 "," 6,685.90 "," 58,115.90 ",,, -   ," 58,115.90 ",
94,2077.04.32,Rock,30,606906850,Core Cutting & Grinding Machinetable Top Model 35 mm To 150 mm Dia,Asian Techno Traders Pvt. Ltd.,1,Nos," 432,336.00 "," 432,336.00 "," 56,203.68 "," 488,539.68 ",,, -   ," 488,539.68 ",
95,2077.04.32,Rock,30,606906850,Brazilian Test Appartus,Asian Techno Traders Pvt. Ltd.,1,Nos," 113,802.00 "," 113,802.00 "," 14,794.26 "," 128,596.26 ",,, -   ," 128,596.26 ",
96,2077.04.32,Rebar Section,30,606906850,Pair of Jaws for 60 mm Dia Samples,Asian Techno Traders Pvt. Ltd.,1,Nos," 7,227.00 "," 7,227.00 ", 939.51 ," 8,166.51 ",,, -   ," 8,166.51 ",
97,2077.04.32,Rebar Section,30,606906850,Pair of Jaws for 70 mm Dia Samples,Asian Techno Traders Pvt. Ltd.,1,Nos," 8,415.00 "," 8,415.00 "," 1,093.95 "," 9,508.95 ",,, -   ," 9,508.95 ",
98,2077.04.32,Rebar Section,30,606906850,Pair of Jaws for 80 mm Dia Samples,Asian Techno Traders Pvt. Ltd.,1,Nos," 9,084.00 "," 9,084.00 "," 1,180.92 "," 10,264.92 ",,, -   ," 10,264.92 ",
99,2077.04.32,Rebar Section,30,606906850,Pair of Jaws for 90 mm Dia Samples,Asian Techno Traders Pvt. Ltd.,1,Nos," 9,935.00 "," 9,935.00 "," 1,291.55 "," 11,226.55 ",,, -   ," 11,226.55 ",
100,2077.04.32,Rebar Section,30,606906850,Pair of Jaws for 100 mm Dia Samples,Asian Techno Traders Pvt. Ltd.,1,Nos," 11,115.00 "," 11,115.00 "," 1,444.95 "," 12,559.95 ",,, -   ," 12,559.95 ",
101,2077.06.04,,64,606906850,Moisture Boosting Compound (25 Kg Bag),Asian Techno Traders Pvt. Ltd.,2,Pcs," 1,650.00 "," 3,300.00 ", 429.00 ," 3,729.00 ",,100," 3,729.00 ", -   ,
102,2077.06.04,Electrical and Electronics,64,606906850,"Copper Bonded Rod 17.2 mm Dia, 2M Long",Asian Techno Traders Pvt. Ltd.,2,Pcs," 2,850.00 "," 5,700.00 ", 741.00 ," 6,441.00 ",,, -   ," 6,441.00 ",
103,2077.06.04,Electrical and Electronics,64,606906850,Polyplastic Earth Pit Camber Cover,Asian Techno Traders Pvt. Ltd.,2,Pcs," 1,850.00 "," 3,700.00 ", 481.00 ," 4,181.00 ",,, -   ," 4,181.00 ",
104,2077.06.06,Rebar Section,82,606906850,Vernier Calliper Digital,Asian Techno Traders Pvt. Ltd.,1,Pcs," 2,620.00 "," 2,620.00 ", 340.60 ," 2,960.60 ",,, -   ," 2,960.60 ",
105,2077.06.06,Rebar Section,82,606906850,Hand Lens,Asian Techno Traders Pvt. Ltd.,1,Pcs, 350.00 , 350.00 , 45.50 , 395.50 ,,, -   , 395.50 ,
106,2077.06.11,Geophysical and Survey,44,300298710,Garmin Check 10 hand held GPS (S/N 01-53D334316),Geo - Tech International Pvt. Ltd.,1,Nos," 14,000.00 "," 14,000.00 "," 1,820.00 "," 15,820.00 ",,, -   ," 15,820.00 ",
107,2077.06.11,,44,300298710,Liquid filed Caposs,Geo - Tech International Pvt. Ltd.,1,Nos, 800.00 , 800.00 , 104.00 , 904.00 ,,100, 904.00 , -   ,Fully Damaged
108,2077.06.18,Rock,305,300054392,"Direct Shear Apparatus, Hand Operated for rocks AIM-221",H. G. Ent.Pvt. Ltd.,1,Set," 452,700.00 "," 452,700.00 "," 58,851.00 "," 511,551.00 ",,, -   ," 511,551.00 ",
109,2077.06.27,Cement and Concrete,127,606906850,Digital Thermometer + Hygrometer,Asian Techno Traders Pvt. Ltd.,1,Set," 1,125.00 "," 1,125.00 ", 146.25 ," 1,271.25 ",,, -   ," 1,271.25 ",
110,2077.07.02,Rock,126,303440805,Hormany 46  (20 Ltr.),Kushum Enterprises Pvt. Ltd,2,Pair," 6,437.38 "," 12,874.76 "," 1,673.72 "," 14,548.48 ",,100," 14,548.48 ", -   ,
111,2077.07.03,Rebar Section,1293,300142727,Digital Sliding T-Level,Shakti commercial Enterprises,1,Nos," 3,097.34 "," 3,097.34 ", 402.65 ," 3,499.99 ",,, -   ," 3,499.99 ",
112,2077.07.12,Soil and Aggregate,87,300298710,Brass Sieve 75 micron,Geo - Tech International Pvt. Ltd.,2,Nos," 1,650.00 "," 3,300.00 ", 429.00 ," 3,729.00 ",,, -   ," 3,729.00 ",
113,2077.07.18,Geophysical and Survey,102,300298710,Garmin Ehex 10 Handheld Gps,Geo - Tech International Pvt. Ltd.,1,Nos," 14,000.00 "," 14,000.00 "," 1,820.00 "," 15,820.00 ",,, -   ," 15,820.00 ",
114,2077.08.17,Soil and Aggregate,143,300298710,200 mm Die Brass Sieve (75 Micron),Geo - Tech International Pvt. Ltd.,2,Nos," 1,650.00 "," 3,300.00 ", 429.00 ," 3,729.00 ",,, -   ," 3,729.00 ",
115,2077.08.27,Electrical and Electronics,35,301822275,"Mitsubishi Brand Air-Conditioner With Heat Pump With Installation and Connecting Piping, Capacity 1 Ton",Bijaya Traders & Enterprises,1,Nos," 69,026.55 "," 69,026.55 "," 8,973.45 "," 78,000.00 ",,, -   ," 78,000.00 ",
116,2077.08.29,Safety,209,606906850,Jayco White Ventilated Helmet With Rachet Fitting ART No. JS 30004,Asian Techno Traders Pvt. Ltd.,4,Pcs, 340.00 ," 1,360.00 ", 176.80 ," 1,536.80 ",,100," 1,536.80 ", -   ,
117,2077.08.29,Safety,209,606906850,Reflective Jacket Green Ziota,Asian Techno Traders Pvt. Ltd.,4,Pcs, 420.00 ," 1,680.00 ", 218.40 ," 1,898.40 ",,100," 1,898.40 ", -   ,
